gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,10,0.0,0.0,0.0,0.0,752.0,72.93033205281142,674.0,853.0,5326.333333333333,124.28953652214207,5156.0,5486.0
2,10,0.0,0.0,0.0,0.0,718.6666666666666,60.895174047064046,674.0,851.0,5237.0,110.44002897500525,5156.0,5415.0
3,10,0.0,0.0,0.0,0.0,685.6666666666666,16.49915822768611,674.0,709.0,5160.666666666667,3.299831645537222,5156.0,5163.0
4,12,0.0,0.0,0.0,0.0,679.8333333333334,13.043729868748773,674.0,709.0,5161.833333333333,2.608745973749755,5156.0,5163.0
5,12,0.0,0.0,0.0,0.0,679.8333333333334,13.043729868748773,674.0,709.0,5161.833333333333,2.608745973749755,5156.0,5163.0
6,12,0.0,0.0,0.0,0.0,679.8333333333334,13.043729868748773,674.0,709.0,5161.833333333333,2.608745973749755,5156.0,5163.0
7,10,0.0,0.0,0.0,0.0,679.8333333333334,13.043729868748773,674.0,709.0,5161.833333333333,2.608745973749755,5156.0,5163.0
8,12,0.0,0.0,0.0,0.0,679.8333333333334,13.043729868748773,674.0,709.0,5161.833333333333,2.608745973749755,5156.0,5163.0
