gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,5,0.0,0.0,0.0,0.0,705.4,74.30100941440837,668.0,854.0,5469.4,108.8,5415.0,5687.0
2,4,0.0,0.0,0.0,0.0,668.0,0.0,668.0,668.0,5415.0,0.0,5415.0,5415.0
3,4,0.0,0.0,0.0,0.0,668.0,0.0,668.0,668.0,5415.0,0.0,5415.0,5415.0
4,4,0.0,0.0,0.0,0.0,668.0,0.0,668.0,668.0,5415.0,0.0,5415.0,5415.0
5,5,0.0,0.0,0.0,0.0,668.0,0.0,668.0,668.0,5415.0,0.0,5415.0,5415.0
