gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,4,0.4,0.48989794855663565,0.0,1.0,452.0,52.687759489277965,390.0,520.0,2987.6,459.12769465585495,2693.0,3898.0
2,4,0.2,0.4,0.0,1.0,408.0,36.0,390.0,480.0,2719.8,53.6,2693.0,2827.0
3,2,0.0,0.0,0.0,0.0,390.0,0.0,390.0,390.0,2693.0,0.0,2693.0,2693.0
4,4,0.0,0.0,0.0,0.0,390.0,0.0,390.0,390.0,2693.0,0.0,2693.0,2693.0
5,2,0.0,0.0,0.0,0.0,390.0,0.0,390.0,390.0,2693.0,0.0,2693.0,2693.0
