gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,7,0.8,0.4,0.0,1.0,499.0,32.118530476969205,456.0,553.0,2623.0,104.37241014750977,2530.0,2827.0
2,9,0.6,0.48989794855663565,0.0,1.0,475.0,17.640861656959956,456.0,503.0,2659.2,138.31760553161698,2530.0,2827.0
3,8,0.8,0.4,0.0,1.0,475.2,9.6,456.0,480.0,2589.4,118.8,2530.0,2827.0
4,8,0.8,0.4,0.0,1.0,475.2,9.6,456.0,480.0,2589.4,118.8,2530.0,2827.0
5,9,0.8,0.4,0.0,1.0,475.2,9.6,456.0,480.0,2589.4,118.8,2530.0,2827.0
