gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,10,0.6,0.48989794855663565,0.0,1.0,468.2,59.99133270731698,374.0,533.0,2631.0,286.10487587596265,2234.0,3116.0
2,10,0.6,0.48989794855663565,0.0,1.0,417.4,37.547836156029014,374.0,469.0,2476.8,206.98734260818946,2234.0,2693.0
3,6,0.8,0.4,0.0,1.0,422.8,24.4,374.0,435.0,2325.8,183.60000000000002,2234.0,2693.0
4,8,0.8,0.4,0.0,1.0,422.8,24.4,374.0,435.0,2325.8,183.60000000000002,2234.0,2693.0
5,5,0.8,0.4,0.0,1.0,422.8,24.4,374.0,435.0,2325.8,183.60000000000002,2234.0,2693.0
6,10,0.8,0.4,0.0,1.0,422.8,24.4,374.0,435.0,2325.8,183.60000000000002,2234.0,2693.0
7,8,0.8,0.4,0.0,1.0,422.8,24.4,374.0,435.0,2325.8,183.60000000000002,2234.0,2693.0
8,8,0.8,0.4,0.0,1.0,422.8,24.4,374.0,435.0,2325.8,183.60000000000002,2234.0,2693.0
