gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,12,1.3333333333333333,0.4714045207910317,1.0,2.0,816.0833333333334,66.46359697023794,737.0,943.0,4380.083333333333,261.86970625781737,4059.0,4832.0
2,12,1.4166666666666667,0.4930066485916347,1.0,2.0,788.6666666666666,57.010720239462174,737.0,943.0,4231.416666666667,260.18982119897686,4059.0,4832.0
3,11,1.3333333333333333,0.4714045207910317,1.0,2.0,769.6666666666666,23.098821518760552,737.0,786.0,4067.6666666666665,6.128258770283411,4059.0,4072.0
4,10,1.1666666666666667,0.372677996249965,1.0,2.0,777.8333333333334,18.261221816248284,737.0,786.0,4069.8333333333335,4.844813951249544,4059.0,4072.0
5,12,1.1666666666666667,0.372677996249965,1.0,2.0,777.8333333333334,18.261221816248284,737.0,786.0,4069.8333333333335,4.844813951249544,4059.0,4072.0
6,11,1.1666666666666667,0.372677996249965,1.0,2.0,777.8333333333334,18.261221816248284,737.0,786.0,4069.8333333333335,4.844813951249544,4059.0,4072.0
7,10,1.1666666666666667,0.372677996249965,1.0,2.0,777.8333333333334,18.261221816248284,737.0,786.0,4069.8333333333335,4.844813951249544,4059.0,4072.0
8,11,1.1666666666666667,0.372677996249965,1.0,2.0,777.8333333333334,18.261221816248284,737.0,786.0,4069.8333333333335,4.844813951249544,4059.0,4072.0
