gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,4,1.4,0.4898979485566356,1.0,2.0,750.2,148.98241506969876,568.0,879.0,4479.0,1501.9005293294226,2642.0,5845.0
2,4,1.4,0.4898979485566356,1.0,2.0,750.2,148.98241506969876,568.0,879.0,4479.0,1501.9005293294226,2642.0,5845.0
3,4,1.4,0.4898979485566356,1.0,2.0,750.2,148.98241506969876,568.0,879.0,4479.0,1501.9005293294226,2642.0,5845.0
4,2,1.4,0.4898979485566356,1.0,2.0,750.2,148.98241506969876,568.0,879.0,4479.0,1501.9005293294226,2642.0,5845.0
5,4,1.4,0.4898979485566356,1.0,2.0,750.2,148.98241506969876,568.0,879.0,4479.0,1501.9005293294226,2642.0,5845.0
