gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,8,1.0,0.0,1.0,1.0,631.2,13.717142559585797,621.0,659.0,5207.4,207.04936609417572,4961.0,5461.0
2,10,1.0,0.0,1.0,1.0,623.9,1.044030650891055,621.0,625.0,5034.2,146.4,4961.0,5327.0
3,8,1.0,0.0,1.0,1.0,623.7,0.9,621.0,624.0,4961.0,0.0,4961.0,4961.0
4,10,1.0,0.0,1.0,1.0,623.7,0.9,621.0,624.0,4961.0,0.0,4961.0,4961.0
5,10,1.0,0.0,1.0,1.0,623.7,0.9,621.0,624.0,4961.0,0.0,4961.0,4961.0
6,9,1.0,0.0,1.0,1.0,623.7,0.9,621.0,624.0,4961.0,0.0,4961.0,4961.0
7,10,1.0,0.0,1.0,1.0,623.7,0.9,621.0,624.0,4961.0,0.0,4961.0,4961.0
8,10,1.0,0.0,1.0,1.0,623.7,0.9,621.0,624.0,4961.0,0.0,4961.0,4961.0
