gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,4,1.0,0.0,1.0,1.0,677.4,41.591345253550045,644.0,757.0,5002.8,109.08602110261424,4937.0,5220.0
2,4,1.0,0.0,1.0,1.0,660.2,13.22724461102916,644.0,671.0,4946.2,11.26765281680262,4937.0,4960.0
3,4,1.0,0.0,1.0,1.0,660.2,13.22724461102916,644.0,671.0,4946.2,11.26765281680262,4937.0,4960.0
4,4,1.0,0.0,1.0,1.0,660.2,13.22724461102916,644.0,671.0,4946.2,11.26765281680262,4937.0,4960.0
5,2,1.0,0.0,1.0,1.0,660.2,13.22724461102916,644.0,671.0,4946.2,11.26765281680262,4937.0,4960.0
