osmid,y,x,street_count,highway,geometry
1221165850,45.7241546,25.5436805,1,,POINT (25.5436805 45.7241546)
1221165858,45.712893,25.5511587,3,,POINT (25.5511587 45.712893)
1221165862,45.7090842,25.552041,3,,POINT (25.552041 45.7090842)
1390147427,45.6496598,25.627366,3,,POINT (25.627366 45.6496598)
1390147506,45.6496856,25.6272602,3,,POINT (25.6272602 45.6496856)
1390165925,45.6586231,25.6216459,3,,POINT (25.6216459 45.6586231)
1390165928,45.658401,25.6219887,3,,POINT (25.6219887 45.658401)
1390165934,45.6584464,25.6219912,3,,POINT (25.6219912 45.6584464)
1390165939,45.658234,25.6217032,3,,POINT (25.6217032 45.658234)
1456240880,45.6511191,25.6156792,3,,POINT (25.6156792 45.6511191)
1456240887,45.651315,25.6160439,3,,POINT (25.6160439 45.651315)
1466881722,45.6481792,25.6191147,3,,POINT (25.6191147 45.6481792)
1502010297,45.6511495,25.6160385,3,,POINT (25.6160385 45.6511495)
1616048117,45.6477565,25.5290315,3,,POINT (25.5290315 45.6477565)
1644667693,45.5948956,25.5527089,2,,POINT (25.5527089 45.5948956)
1786326358,45.6396821,25.590433,3,,POINT (25.590433 45.6396821)
1786326412,45.6457699,25.5899207,3,,POINT (25.5899207 45.6457699)
1786326421,45.6457718,25.5895857,3,,POINT (25.5895857 45.6457718)
1801729920,45.6191139,25.6501704,3,,POINT (25.6501704 45.6191139)
1852457813,45.6652418,25.6343394,3,,POINT (25.6343394 45.6652418)
1916018738,45.6789052,25.5808927,3,,POINT (25.5808927 45.6789052)
1921702420,45.6929346,25.5833147,3,,POINT (25.5833147 45.6929346)
1921702421,45.6929551,25.5834437,3,,POINT (25.5834437 45.6929551)
1921702439,45.6779912,25.5872323,3,,POINT (25.5872323 45.6779912)
1921702441,45.6942628,25.5831536,3,,POINT (25.5831536 45.6942628)
1921702451,45.6932179,25.5834314,3,,POINT (25.5834314 45.6932179)
1935988197,45.6511676,25.6088079,3,,POINT (25.6088079 45.6511676)
1937135392,45.6601353,25.613632,3,,POINT (25.613632 45.6601353)
1937139635,45.6585727,25.5930714,3,,POINT (25.5930714 45.6585727)
1995865717,45.6667329,25.5912778,3,,POINT (25.5912778 45.6667329)
2000513317,45.665846,25.5913028,3,,POINT (25.5913028 45.665846)
2001693005,45.6665233,25.5988045,3,,POINT (25.5988045 45.6665233)
2001696885,45.6697597,25.5978329,3,,POINT (25.5978329 45.6697597)
2001719188,45.6699902,25.6109336,3,,POINT (25.6109336 45.6699902)
2002312559,45.666273,25.6095508,3,,POINT (25.6095508 45.666273)
2002312562,45.6666471,25.6043733,3,,POINT (25.6043733 45.6666471)
2002857141,45.6691352,25.6058349,3,,POINT (25.6058349 45.6691352)
2002857142,45.6695175,25.600584,4,,POINT (25.600584 45.6695175)
2002857143,45.6709319,25.6007681,3,,POINT (25.6007681 45.6709319)
