gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,4,0.4,0.48989794855663565,0.0,1.0,202.4,20.08581589082206,186.0,227.0,1443.0,320.88315630459635,1050.0,1705.0
2,4,0.4,0.48989794855663565,0.0,1.0,202.4,20.08581589082206,186.0,227.0,1443.0,320.88315630459635,1050.0,1705.0
3,4,0.4,0.48989794855663565,0.0,1.0,202.4,20.08581589082206,186.0,227.0,1443.0,320.88315630459635,1050.0,1705.0
4,4,0.4,0.48989794855663565,0.0,1.0,202.4,20.08581589082206,186.0,227.0,1443.0,320.88315630459635,1050.0,1705.0
5,3,0.4,0.48989794855663565,0.0,1.0,202.4,20.08581589082206,186.0,227.0,1443.0,320.88315630459635,1050.0,1705.0
