gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,11,0.0,0.0,0.0,0.0,186.5,6.422616289332565,179.0,200.0,1651.5,199.91143872558501,1224.0,1865.0
2,12,0.0,0.0,0.0,0.0,186.5,6.422616289332565,179.0,200.0,1651.5,199.91143872558501,1224.0,1865.0
3,10,0.0,0.0,0.0,0.0,186.5,6.422616289332565,179.0,200.0,1651.5,199.91143872558501,1224.0,1865.0
4,10,0.0,0.0,0.0,0.0,186.5,6.422616289332565,179.0,200.0,1651.5,199.91143872558501,1224.0,1865.0
5,11,0.0,0.0,0.0,0.0,186.5,6.422616289332565,179.0,200.0,1651.5,199.91143872558501,1224.0,1865.0
6,12,0.0,0.0,0.0,0.0,186.5,6.422616289332565,179.0,200.0,1651.5,199.91143872558501,1224.0,1865.0
7,12,0.0,0.0,0.0,0.0,186.5,6.422616289332565,179.0,200.0,1651.5,199.91143872558501,1224.0,1865.0
8,12,0.0,0.0,0.0,0.0,186.5,6.422616289332565,179.0,200.0,1651.5,199.91143872558501,1224.0,1865.0
