gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,7,1.0,0.0,1.0,1.0,959.6666666666666,147.08916419037203,754.0,1216.0,5409.0,1072.9411291709657,4032.0,7306.0
2,9,1.0,0.0,1.0,1.0,835.3333333333334,59.78479925718763,754.0,896.0,4533.0,392.3374397972575,4032.0,4990.0
3,12,1.0,0.0,1.0,1.0,788.0,48.08326112068523,754.0,856.0,4213.666666666667,256.9154638311123,4032.0,4577.0
4,12,1.0,0.0,1.0,1.0,754.0,0.0,754.0,754.0,4032.0,0.0,4032.0,4032.0
5,10,1.0,0.0,1.0,1.0,754.0,0.0,754.0,754.0,4032.0,0.0,4032.0,4032.0
6,10,1.0,0.0,1.0,1.0,754.0,0.0,754.0,754.0,4032.0,0.0,4032.0,4032.0
7,12,1.0,0.0,1.0,1.0,754.0,0.0,754.0,754.0,4032.0,0.0,4032.0,4032.0
8,9,1.0,0.0,1.0,1.0,754.0,0.0,754.0,754.0,4032.0,0.0,4032.0,4032.0
