gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,4,1.0,0.0,1.0,1.0,840.2,97.12960413797639,722.0,939.0,4547.4,484.9097235568699,3958.0,5049.0
2,4,1.0,0.0,1.0,1.0,759.4,74.8,722.0,909.0,4143.6,371.2,3958.0,4886.0
3,4,1.0,0.0,1.0,1.0,722.0,0.0,722.0,722.0,3958.0,0.0,3958.0,3958.0
4,4,1.0,0.0,1.0,1.0,722.0,0.0,722.0,722.0,3958.0,0.0,3958.0,3958.0
5,4,1.0,0.0,1.0,1.0,722.0,0.0,722.0,722.0,3958.0,0.0,3958.0,3958.0
