gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,2,1.0,0.0,1.0,1.0,619.6,20.085815890822058,595.0,636.0,4907.4,65.64632510658917,4827.0,4961.0
2,4,1.0,0.0,1.0,1.0,603.2,16.4,595.0,636.0,4853.8,53.6,4827.0,4961.0
3,4,1.0,0.0,1.0,1.0,595.0,0.0,595.0,595.0,4827.0,0.0,4827.0,4827.0
4,4,1.0,0.0,1.0,1.0,595.0,0.0,595.0,595.0,4827.0,0.0,4827.0,4827.0
5,4,1.0,0.0,1.0,1.0,595.0,0.0,595.0,595.0,4827.0,0.0,4827.0,4827.0
