,Node_ID,Coordinates,Longitude,Latitude,page_rank,centrality,eigenvector,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality
2880,5319760754,"(25.559621, 45.6642548)",25.559621,45.6642548,0.0003194415143948279,0.0018315018315018315,-9.838092257392317e-16,0.02125679693889326,0.008722385713193644,0.008672011006616596,119.94855517583024
2881,4171187689,"(25.5564665, 45.6652993)",25.5564665,45.6652993,0.00021702397570255084,0.001221001221001221,-2.0083138303541518e-16,0.020843610531090476,0.0018760474907404529,0.0019693013729273276,120.53320075149217
2882,4171187061,"(25.5611509, 45.6657898)",25.5611509,45.6657898,0.0003021872294255348,0.0018315018315018315,-9.744991062711304e-16,0.019666259961975,0.0002977466066538255,0.0003185508785461088,117.6309977140993
2883,10067476293,"(25.5607834, 45.6658066)",25.5607834,45.6658066,0.0003380609233346486,0.0018315018315018315,-6.309525606224713e-16,0.019646275738747023,0.0007525896906394886,0.0008365601125620211,114.63161684198512
2884,4171187062,"(25.5614341, 45.6649131)",25.5614341,45.6649131,0.00038181877241541046,0.002442002442002442,-1.6705877589425722e-15,0.020021573520353015,0.0013414868415555494,0.0010794865386945544,113.99452184299965
2885,4171190906,"(25.5617252, 45.665756)",25.5617252,45.665756,0.00027847055370229924,0.0018315018315018315,-8.465391307412517e-16,0.01937671036921158,0.00023948577954152717,0.00023202664066213682,112.81214665295371
2886,4171190907,"(25.5619484, 45.6648182)",25.5619484,45.6648182,0.00037838103504835805,0.002442002442002442,-1.2308776473034366e-15,0.019666855353547775,0.0006554147333947698,0.0005764514632596697,116.35020611460246
2887,4171187063,"(25.5610101, 45.6641663)",25.5610101,45.6641663,0.0003010917298911662,0.0018315018315018315,-1.4225457325194501e-15,0.020408539189327366,0.002756839152101893,0.0026400122177793932,123.92255182859725
2888,5319851682,"(25.5606383, 45.6650469)",25.5606383,45.6650469,0.000296806741204167,0.0018315018315018315,-1.3658872649944382e-15,0.020407256939846376,0.0013904645336636357,0.0012931107802291008,119.53986701589388
2889,4171190908,"(25.5615334, 45.664138)",25.5615334,45.664138,0.00031819881376475936,0.0018315018315018315,-1.1079211573768155e-15,0.020022684328345197,0.001261716596314362,0.0013007066000863697,118.13675916350695
2890,5319851684,"(25.5605387, 45.664196)",25.5605387,45.664196,0.0003954741937591599,0.002442002442002442,-1.6797353703857161e-15,0.020823966540322158,0.006853802659391239,0.006802706293800453,113.83571130297446
2891,6772908565,"(25.5631126, 45.6648655)",25.5631126,45.6648655,0.0001929107149524274,0.001221001221001221,-5.160775090469718e-16,0.019375323338005054,0.0006441277311324698,0.0007629380561950528,105.82083885237576
2892,10980447427,"(25.5620648, 45.664106)",25.5620648,45.664106,0.0003742358567867276,0.0018315018315018315,-6.041903951249792e-16,0.019635586602706066,0.0006156435954691134,0.0006157939459466177,124.84812593522992
2893,10741067695,"(25.579437, 45.667805)",25.579437,45.667805,0.00018015598420707655,0.0006105006105006105,1.8376821698095536e-16,0.026561174861062013,0.0,0.0,118.04452700414382
2894,6568513686,"(25.6568517, 45.6367456)",25.6568517,45.6367456,0.0001080344442888245,0.0006105006105006105,2.347616919085409e-08,0.020634786439356758,0.025053248707502338,0.02518726808485081,121.36150727678965
2895,4513482294,"(25.6002351, 45.6817533)",25.6002351,45.6817533,0.0001591365260859747,0.0006105006105006105,3.513566586958335e-14,0.02170133044517528,0.0,0.0,112.7413382813696
2896,11274664929,"(25.600384, 45.6817438)",25.600384,45.6817438,0.0005273270904454047,0.002442002442002442,1.1277310594751875e-13,0.022184685670786346,0.0018477798531486601,0.001844276906299807,112.90660111402642
2897,4516616598,"(25.6127061, 45.6752421)",25.6127061,45.6752421,0.0002885146550278844,0.0009157509157509158,7.113175736953094e-15,0.021063805222144013,0.002609749298150018,0.0025908173057505117,119.9779564621527
2898,4516616609,"(25.6128983, 45.6751587)",25.6128983,45.6751587,0.00028246558589791203,0.0009157509157509158,1.6523162378015232e-13,0.022458960801674914,0.004374602735085803,0.004479816197373623,121.09796925035211
2899,4516616622,"(25.6129486, 45.6753375)",25.6129486,45.6753375,0.00028626193677919946,0.0009157509157509158,5.1461417275827645e-14,0.02196401044799419,0.0043752551784864025,0.004480468640774113,123.67334614321959
2900,4516616621,"(25.6127486, 45.6753316)",25.6127486,45.6753316,0.0002850012483766499,0.0009157509157509158,2.2851453957907296e-14,0.021518595414528954,0.002609096854749483,0.002590164862349977,113.70771527174234
2901,4518057374,"(25.6182598, 45.686703)",25.6182598,45.686703,0.000325277829718449,0.0006105006105006105,-2.831441052016494e-18,0.01761640458983403,0.00182553663469694,0.00182553663469694,130.7145162213252
2902,4518058901,"(25.6180982, 45.6864861)",25.6180982,45.6864861,0.0003233553776738448,0.0009157509157509158,4.8729284441345973e-20,0.01731061443586892,0.001826189078097475,0.001826189078097475,105.14570087181556
2903,4631909320,"(25.6273986, 45.6331675)",25.6273986,45.6331675,0.0001589221154873322,0.0006105006105006105,7.70254295253007e-13,0.02085592359642367,0.0,0.0,118.09006590643489
2904,10882937948,"(25.6271772, 45.6331397)",25.6271772,45.6331397,0.00026112295881667674,0.001221001221001221,1.0061484173178723e-12,0.021011073492508015,0.0007235179823888824,0.0007250859827195706,120.36913804610299
2905,4685246065,"(25.6161304, 45.6694519)",25.6161304,45.6694519,0.00040393636732439624,0.0018315018315018315,6.954602071175247e-12,0.022630778330173556,0.002324397836554592,0.0023076282284297573,105.08727298234695
2906,6476573504,"(25.6171221, 45.6693256)",25.6171221,45.6693256,0.00028218710802219984,0.001221001221001221,6.074165376775616e-12,0.022289885526663163,0.0009984473939579689,0.000998834534139877,111.8114376917127
2907,9194070067,"(25.6167529, 45.6678891)",25.6167529,45.6678891,0.0002739838501599321,0.001221001221001221,2.586363235804217e-12,0.022208956096135584,0.0021609816187711205,0.0021364916933857775,100.16274078684846
2908,6476572962,"(25.6163566, 45.6702937)",25.6163566,45.6702937,0.0002858554062581789,0.001221001221001221,1.3672182712029983e-11,0.022995602236223274,0.0021864943826100302,0.0021915826257429332,131.19702249723258
2909,4770370163,"(25.5884387, 45.6574923)",25.5884387,45.6574923,0.0003298496803357505,0.0009157509157509158,5.888002690720696e-15,0.027273993022586523,0.001417778961925591,0.0014393052815196185,130.10628177309584
