,Unnamed: 0,Node_ID,Coordinates,Longitude,Latitude,page_rank,centrality,eigenvector,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality
0,0,90725729,"(25.5948666, 45.6600797)",25.5948666,45.6600797,0.3573952852476521,0.2222222222222222,1.289420603745377e-10,0.974731411453615,0.3938633406913293,0.4055689163749381,0.7617349529197349
1,1,2622105801,"(25.5949138, 45.6599571)",25.5949138,45.6599571,0.5198471634326626,0.3333333333333333,4.8478027754916875e-11,0.9584526569389525,0.4181042949121431,0.43018711858893427,0.8703873807993545
2,2,90725732,"(25.5931274, 45.6632299)",25.5931274,45.6632299,0.130674529317663,0.2222222222222222,1.4039791869370137e-09,0.8732729200490381,0.5074443288671314,0.5163519429234419,0.8615280869748834
3,3,252460612,"(25.5939348, 45.6661857)",25.5939348,45.6661857,0.08032627227110858,0.2222222222222222,4.3721553907921284e-10,0.8504210764068164,0.14736972810790078,0.1491752553015386,0.8562719309910857
4,4,262799429,"(25.5924847, 45.6650684)",25.5924847,45.6650684,0.1885364452937468,0.2222222222222222,4.841847841609959e-10,0.9197864228443817,0.37278908968902885,0.38008792582371664,0.7917531427551607
5,5,90728988,"(25.5969224, 45.660579)",25.5969224,45.660579,0.3392044042898597,0.5555555555555556,2.1189217348825947e-08,0.9280533107977272,0.03394038022116843,0.03359967299182595,0.9249447783932166
6,6,289773242,"(25.5969652, 45.6614162)",25.5969652,45.6614162,0.3364508718369528,0.5555555555555556,3.0365226727016287e-08,0.9210319401733305,0.0346833662505618,0.030485499112112825,0.7929412239637516
7,7,267056839,"(25.599908, 45.6604029)",25.599908,45.6604029,0.3214805849272345,0.5555555555555556,2.427367484292722e-08,0.9382536956115477,0.034243800473813535,0.03637218821005468,0.6986294610864328
8,8,289773256,"(25.5959685, 45.6602975)",25.5959685,45.6602975,0.36529661951255277,0.5555555555555556,1.3404233241153649e-08,0.9337661532465946,0.03949466756889602,0.03979515892633301,0.8518675416474434
9,9,90728990,"(25.600545, 45.6603569)",25.600545,45.6603569,0.32037034364664124,0.5555555555555556,4.66907849997153e-08,0.9353733952035802,0.029548822810651073,0.031229667009260213,0.5789646067488472
10,10,289753876,"(25.6007038, 45.6613419)",25.6007038,45.6613419,0.3276843285677011,0.5555555555555556,8.781797507693493e-08,0.9294770066299899,0.0440542989571488,0.039843336483142165,0.72203566909958
11,11,267053378,"(25.6011181, 45.6603156)",25.6011181,45.6603156,0.30767684196875744,0.4444444444444445,3.784250593510951e-08,0.9299689495783523,0.014305211277874501,0.015515513240028206,0.6761835764864504
12,12,90731809,"(25.6136132, 45.6599282)",25.6136132,45.6599282,0.35739410610898015,0.2222222222222222,7.084126785596899e-06,0.9048812517702816,0.16594344531323932,0.17131847458078436,0.6701456905628149
