weather_data,day_of_week,holiday_data,traffic_incidents,intraffic_speed,average_speed,distance_value,time_of_day,hour
1,5,0,0,26.317241379310346,18.614634146341466,424,3,21
1,5,0,0,26.317241379310346,18.614634146341466,424,3,21
1,5,0,1,37.624060150375946,26.617021276595743,1390,3,21
1,5,0,1,34.66516853932584,26.257021276595747,1714,3,21
1,5,0,1,34.28,26.257021276595747,1714,3,21
1,5,0,1,37.343283582089555,26.617021276595743,1390,3,21
1,5,0,0,43.728,38.5835294117647,1822,3,22
1,5,0,0,44.31891891891892,38.5835294117647,1822,3,22
1,5,0,0,37.08698060941828,31.50211764705882,3719,3,22
1,5,0,0,36.803149606299215,30.682713347921226,3895,3,22
1,5,0,0,29.897459584295614,26.527868852459015,3596,3,22
1,5,0,0,36.491860465116275,30.321739130434782,3487,3,22
1,5,0,0,32.4,28.12909090909091,3438,3,22
1,5,0,0,33.76817102137767,29.013061224489796,3949,3,22
1,5,0,0,34.93565217391305,29.43296703296703,4464,3,22
1,5,0,0,29.9587982832618,26.046268656716418,3878,3,22
1,5,0,0,32.243877551020404,27.065524625267667,3511,3,22
1,5,0,0,36.88540540540541,30.876923076923077,3791,3,22
1,5,0,0,36.422891566265065,29.638235294117646,3359,3,22
1,5,0,0,32.4,28.12909090909091,3438,3,22
1,5,0,0,33.876699029126215,29.507822410147995,3877,3,22
1,5,0,0,35.49421487603306,30.10373831775701,3579,3,22
1,5,0,0,30.083972911963883,26.76144578313253,3702,3,22
1,5,0,0,36.53293051359517,29.565770171149143,3359,3,22
1,5,0,0,30.143891402714935,26.75421686746988,3701,3,22
1,5,0,0,32.65646437994723,28.06530612244898,3438,3,22
1,5,0,0,30.8760736196319,27.40181488203267,4194,3,22
1,5,0,0,30.15975232198143,25.94300932090546,5412,3,22
1,5,0,0,34.212887828162295,30.17936842105263,3982,3,22
1,5,0,0,27.948603351955306,25.30927487352445,4169,3,22
1,5,0,0,36.31351351351351,29.638235294117646,3359,3,22
1,5,0,0,37.17066014669927,31.738622129436326,4223,3,22
1,5,0,0,36.78131868131868,31.50211764705882,3719,3,22
1,5,0,0,33.61714285714286,29.051851851851854,3922,3,22
1,5,0,0,36.63776223776224,31.372455089820363,4366,3,22
1,5,0,0,33.63389830508475,29.96577181208054,4961,3,22
1,5,0,0,36.745780051150895,30.700000000000003,3991,3,22
1,5,0,0,31.42025316455696,28.422137404580155,4137,3,22
1,5,0,0,32.4,28.91392405063291,3807,3,22
1,5,0,0,27.908256880733948,25.140495867768593,4225,3,22
1,5,0,0,33.87312348668281,29.513924050632912,3886,3,22
1,5,0,0,31.92935779816514,28.01046277665996,3867,3,22
1,5,0,0,33.15789473684211,29.552238805970152,3850,3,22
1,5,0,0,33.04729064039409,27.550718685831622,3727,3,22
1,5,0,0,34.74418604651163,28.79229122055675,3735,3,22
1,5,0,0,35.56588235294117,29.565770171149143,3359,3,22
1,5,0,0,31.735384615384618,28.12909090909091,3438,3,22
1,5,0,0,33.06910994764398,28.072000000000003,3509,3,22
1,5,0,0,33.1506072874494,28.882539682539683,4549,3,22
1,5,0,0,33.004799999999996,28.12909090909091,3438,3,22
1,5,0,0,34.0419512195122,29.507822410147995,3877,3,22
1,5,0,0,37.190000000000005,31.50211764705882,3719,3,22
1,5,0,0,33.004799999999996,28.12909090909091,3438,3,22
1,5,0,0,36.97981651376147,29.638235294117646,3359,3,22
1,5,0,0,34.05035629453682,29.679503105590065,3982,3,22
1,5,0,0,31.711648351648353,27.908704061895552,4008,3,22
1,5,0,0,32.56701030927835,27.64989059080963,3510,3,22
1,5,0,0,33.09304812834225,28.06530612244898,3438,3,22
1,5,0,0,30.419178082191785,27.191020408163265,3701,3,22
1,5,0,0,36.791111111111114,30.471165644171776,4139,3,22
1,5,0,0,32.372727272727275,28.551447661469936,3561,3,22
1,5,0,0,32.82077922077922,27.58951965065502,3510,3,22
1,5,0,0,30.43410138248848,25.59767441860465,3669,3,22
1,5,0,0,36.23288409703504,28.78458244111349,3734,3,22
1,5,0,0,24.38043844856661,23.35638126009693,4016,3,22
1,4,0,1,30.887068965517244,30.171789473684214,3981,3,19
1,4,0,1,31.085077951002226,29.507822410147995,3877,3,19
1,4,0,1,29.13658536585366,26.8953095684803,3982,3,19
1,4,0,1,28.702207130730052,28.12911813643927,4696,3,19
1,4,0,1,30.40982800982801,28.12909090909091,3438,3,19
1,4,0,1,29.74023529411765,27.00769230769231,3511,3,19
1,4,0,1,30.82838709677419,30.17936842105263,3982,3,19
1,4,0,1,32.97635467980296,31.50211764705882,3719,3,19
1,4,0,1,32.8953316953317,31.50211764705882,3719,3,19
1,4,0,1,28.057263157894738,26.76144578313253,3702,3,19
1,4,0,1,27.693749999999998,25.52256,4431,3,19
1,4,0,1,28.714655172413792,27.191020408163265,3701,3,19
1,4,0,1,33.211671087533155,29.391549295774652,3478,3,19
1,4,0,1,31.619088937093277,28.581176470588236,4049,3,19
1,4,0,1,22.13351134846462,20.931818181818183,4605,3,19
1,4,0,1,29.489361702127663,29.552238805970152,3850,3,19
1,4,0,1,27.20961182994455,26.192882562277582,4089,3,19
1,4,0,1,28.96107382550336,26.527868852459015,3596,3,19
1,4,0,1,30.36153846153846,29.297319587628866,3947,3,19
1,4,0,1,32.279381443298966,28.85806451612903,3479,3,19
1,4,0,1,29.74023529411765,27.065524625267667,3511,3,19
1,4,0,1,29.864900662251653,30.333632286995517,3758,3,19
2,0,0,0,25.993220338983054,25.140983606557377,426,2,12
2,0,0,0,19.29176470588235,18.740571428571428,911,2,12
